Host_Arrival_NS,Gateway_Ingress_NS,Latency_US
1764346310186290313,1764346310183836590,2453.72
1764346310188750900,1764346310186258767,2492.13
1764346310190702533,1764346310188975154,1727.38
1764346310192710613,1764346310190425461,2285.15
1764346310194927222,1764346310192405447,2521.78
1764346310197022038,1764346310194808626,2213.41
1764346310199078327,1764346310196769364,2308.96
1764346310201472142,1764346310198979069,2493.07
1764346310203520923,1764346310200918560,2602.36
1764346310205636459,1764346310203289993,2346.47
1764346310207621326,1764346310205242233,2379.09
1764346310209744818,1764346310208880247,864.571
1764346310211876701,1764346310209406427,2470.27
1764346310214013231,1764346310211785609,2227.62
1764346310216205563,1764346310213758596,2446.97
1764346310218280764,1764346310216142278,2138.49
1764346310220574864,1764346310218983398,1591.47
1764346310222570128,1764346310220439204,2130.92
1764346310224679610,1764346310222351949,2327.66
1764346310226881442,1764346310224346433,2535.01
1764346310229007588,1764346310226709367,2298.22
1764346310231092777,1764346310228971065,2121.71
1764346310233228310,1764346310230913556,2314.75
1764346310235339354,1764346310232859046,2480.31
1764346310237413724,1764346310235299970,2113.75
1764346310239667036,1764346310238966481,700.555
1764346310241777196,1764346310239233445,2543.75
1764346310243837887,1764346310241412404,2425.48
1764346310245962756,1764346310243808084,2154.67
1764346310248135296,1764346310245765323,2369.97
1764346310250307231,1764346310248965146,1342.09
1764346310252419501,1764346310249975761,2443.74
1764346310254587325,1764346310252354194,2233.13
1764346310256648933,1764346310254315432,2333.5
1764346310258793446,1764346310256287918,2505.53
1764346310261012878,1764346310258864824,2148.05
1764346310263056656,1764346310260799066,2257.59
1764346310265138616,1764346310262756555,2382.06
1764346310267287527,1764346310265163234,2124.29
1764346310269388769,1764346310268972475,416.294
1764346310271616829,1764346310269226191,2390.64
1764346310273713122,1764346310271387403,2325.72
1764346310275904906,1764346310273333143,2571.76
1764346310278051190,1764346310275772817,2278.37
1764346310280152086,1764346310278959142,1192.94
1764346310282218839,1764346310279730289,2488.55
1764346310284425228,1764346310281909498,2515.73
1764346310286482276,1764346310284291180,2191.1
1764346310288613654,1764346310286246169,2367.49
1764346310290735823,1764346310288957807,1778.02
1764346310292935170,1764346310290419362,2515.81
1764346310294924125,1764346310292824791,2099.33
1764346310297241952,1764346310294776780,2465.17
