CAN_ID,Priority,TX_Ingress_NS,RX_Egress_NS,E2E_Latency_US
0x18fe50a7,2,1785199188088089745,1785199188088420111,330
0x1cffd4f5,2,1785199188088753371,1785199188089028331,274
0x18ff9528,2,1785199188092317997,1785199188092655559,337
0xc7ff7,2,1785199188093582231,1785199188093924296,342
0x1f2,1,1785199188093946988,1785199188094299331,352
0x18fd50a7,2,1785199188094212153,1785199188094527034,314
0x18ff28a7,2,1785199188094375911,1785199188094531571,155
0x18ff2895,2,1785199188095440294,1785199188095779419,339
0x18fe2895,2,1785199188095804643,1785199188096172714,368
0x18fe50a7,2,1785199188098669570,1785199188098938760,269
0x18ffefa7,2,1785199188103734299,1785199188104039816,305
0x30c,1,1785199188105398474,1785199188105683014,284
0x18ffa7ef,2,1785199188106163581,1785199188106433437,269
0x18fe50a7,2,1785199188108927823,1785199188109285631,357
0x18ff9528,2,1785199188113192613,1785199188113526709,334
0x18ffefa7,2,1785199188114357069,1785199188114656797,299
0x1f2,1,1785199188114374643,1785199188114661372,286
0x18fd50a7,2,1785199188114731566,1785199188115030222,298
0x18ff28a7,2,1785199188114995676,1785199188115282832,287
0x18ff2895,2,1785199188116160984,1785199188116441754,280
0x18fe2895,2,1785199188116525167,1785199188116811123,285
0x18fe50a7,2,1785199188119390316,1785199188119663817,273
0x18ffefa7,2,1785199188124454526,1785199188124780114,325
0x18ffa7ef,2,1785199188126819068,1785199188127155587,336
0x18ff28f4,2,1785199188128482947,1785199188128780804,297
0x18fe50a7,2,1785199188129647180,1785199188129921929,274
0x18ff9528,2,1785199188134012154,1785199188134303581,291
0x18ffefa7,2,1785199188135076666,1785199188135408170,331
0x0,0,1785199188135093573,1785199188135412910,319
0x18fd50a7,2,1785199188135452201,1785199188135781261,329
0x18ff28a7,2,1785199188135716477,1785199188136033167,316
0x18ff2895,2,1785199188136881007,1785199188137158404,277
0xc7f14,2,1785199188137345467,1785199188137656180,310
0x18ffeff4,2,1785199188139110401,1785199188139407452,297
0x18fe50a7,2,1785199188140174876,1785199188140527763,352
0x18ffefa7,2,1785199188145239494,1785199188145538949,299
0x18ffa7ef,2,1785199188147604794,1785199188147906811,302
0x18fe50a7,2,1785199188150369574,1785199188150657209,287
